battery_power,brand,processor_speed,dual_sim,fc,four_g,int_memory,mobile_wt,n_cores,pc,ram,talk_time,three_g,touch_screen,wifi,os,price
3934,Samsung,1,1,3,1,157,125,4,14,5460,3,0,0,1,Android,971.37
3749,Samsung,1.1,1,11,0,26,166,1,16,4069,4,0,0,0,Android,700.17
4238,Samsung,1.7,0,15,0,40,178,6,10,4542,7,1,1,0,Android,800.64
792,Samsung,2.7,1,7,1,128,101,2,34,4566,8,1,0,1,Android,713.8
4774,Apple,0.7,0,19,0,195,145,5,3,3777,7,0,0,0,iOS,618.97
1305,Apple,1.9,0,2,1,237,122,4,33,1077,20,1,0,1,iOS,661.75
2283,Apple,0.8,1,18,0,66,185,6,20,3544,5,1,1,1,iOS,867.99
4960,Apple,1.4,0,4,0,112,248,1,10,6934,15,1,0,0,iOS,298.27
3846,Apple,0.9,1,12,1,130,208,1,32,3302,14,1,0,0,iOS,1060.67
2702,Apple,2.1,0,3,1,179,209,3,47,3224,5,0,0,1,iOS,907.73
2410,OnePlus,2.5,0,19,1,43,192,6,26,7745,8,0,0,1,iOS,554.87
976,OnePlus,0.8,1,2,0,238,111,1,35,6450,22,0,1,0,iOS,246.12
3184,OnePlus,1.9,1,11,1,166,232,1,44,6589,21,1,0,1,iOS,126.06
4650,OnePlus,3,1,11,1,149,236,6,28,825,8,0,1,1,iOS,1114.15
4974,OnePlus,1.1,0,19,1,254,108,5,31,2304,10,1,1,0,iOS,224.93
4237,OnePlus,1.4,0,18,0,71,230,6,23,4715,10,1,1,1,iOS,625.85
4376,OnePlus,1.5,0,13,1,230,242,1,10,1254,14,1,1,1,iOS,416.65
4114,OnePlus,1.2,0,2,1,112,105,2,34,835,6,1,0,0,iOS,292.58
4607,OnePlus,2.5,0,5,0,102,116,3,20,7000,7,1,1,1,iOS,1195.85
571,OnePlus,0.5,1,10,1,130,166,5,18,1194,10,0,0,0,iOS,570.07
4267,Tecno,1.2,0,4,1,42,228,6,23,4597,15,1,1,1,Android,818.38
2993,Tecno,2.2,1,13,1,12,248,1,6,6766,12,0,0,0,Android,805.02
1542,Tecno,1.5,1,16,1,84,226,7,27,5939,2,1,0,0,Android,399.92
2227,Tecno,3,0,19,0,122,209,6,31,6595,12,0,1,0,Android,653.06
905,Tecno,2.9,0,16,1,152,146,5,11,3440,4,0,1,0,Android,1269.32
3374,Tecno,2.4,1,7,0,139,190,2,42,7680,19,0,0,0,Android,1202.56
4621,Tecno,1,0,14,1,149,243,1,3,5711,19,0,1,1,Android,572.92
2583,Tecno,1.3,0,4,1,137,120,3,16,5964,14,1,0,0,Android,1104.76
3644,Tecno,0.7,1,14,0,223,119,7,17,3869,15,0,0,1,Android,1265.21
3124,Tecno,2.6,1,5,1,27,203,6,34,7580,5,1,1,0,Android,263.33
4972,Tecno,1.9,0,0,1,98,213,2,7,3125,6,1,0,1,Android,600.09
2045,Tecno,2.3,1,14,1,25,229,5,20,1198,22,0,0,0,Android,768.59
795,Tecno,1.5,1,8,1,252,131,3,15,5636,6,0,1,1,Android,265.47
2291,Tecno,2.9,1,3,1,74,217,6,27,6328,11,0,1,0,Android,979.52
3324,Tecno,2.7,1,4,1,40,186,1,4,1240,18,0,1,1,Android,1329.37
1757,Tecno,2.2,0,16,1,175,194,5,10,7636,7,0,0,1,Android,1117.29
2266,Itel,2.6,0,14,1,110,134,7,18,3322,13,1,1,1,Android,1036.26
2959,Itel,1.8,1,11,0,57,175,7,18,5381,9,0,0,0,Android,478.93
1494,Itel,2.3,1,17,1,13,249,7,6,2176,16,1,0,0,Android,500.56
3451,Itel,1.3,1,14,1,137,103,5,39,7130,4,0,0,0,Android,938.89
4626,Itel,0.8,0,4,1,185,179,6,29,3235,17,1,1,1,Android,544.22
4201,Itel,0.9,1,18,0,223,225,6,10,7164,20,1,1,1,Android,534.13
3516,Itel,2.9,1,10,0,157,153,6,37,3961,22,0,0,1,Android,1044.84
1020,Itel,1.7,0,9,0,178,119,2,41,702,6,0,0,0,Android,529.88
2490,Itel,1.9,1,16,0,138,181,5,38,2572,13,1,1,0,Android,643.5
4060,Itel,0.8,0,16,1,152,184,7,42,4571,21,0,0,0,Android,776.88
4751,Itel,0.9,0,17,0,232,237,4,45,5585,12,1,1,0,Android,1346.81
2206,Itel,0.7,1,11,1,230,163,1,47,2396,22,1,0,0,Android,1300.14
4471,Itel,2.5,0,14,1,179,100,5,18,7685,6,0,1,0,Android,296.96
4972,Itel,1,1,17,0,110,200,5,36,4477,23,0,1,0,Android,839.07
2798,Itel,1.1,1,10,1,62,162,7,35,4421,21,1,1,0,Android,1284.52
3499,Itel,2.7,0,18,1,218,132,5,32,3327,2,1,0,1,Android,756.76
4947,Itel,0.9,0,12,1,8,210,2,40,7884,18,0,1,1,Android,937.78
4266,Itel,2.8,1,3,0,39,131,7,2,3544,2,1,0,1,Android,570.45
4569,Itel,1.1,1,19,0,178,164,7,45,796,20,0,1,0,Android,1029.26
1919,Itel,0.5,0,4,1,8,148,2,5,5509,17,1,0,0,Android,1244.1
4465,OnePlus,2.2,1,11,1,86,186,2,27,1894,4,0,0,0,iOS,832.04
2336,OnePlus,1.4,0,6,0,22,159,5,42,756,12,0,0,0,iOS,1099.41
4263,OnePlus,1.1,0,4,0,160,110,7,28,7096,19,0,0,0,iOS,532.47
3352,OnePlus,2,0,12,0,157,196,6,9,5972,5,1,0,0,iOS,581.96
794,OnePlus,0.5,1,8,1,219,130,3,28,3516,23,0,1,1,iOS,776.51
1479,OnePlus,1.6,0,15,1,217,244,2,5,4700,5,0,1,1,iOS,608.99
4853,OnePlus,0.7,1,17,1,172,233,3,22,4847,14,1,1,1,iOS,472.97
1396,OnePlus,1.9,0,5,0,24,186,5,2,4319,5,1,0,1,iOS,1256.27
1813,OnePlus,1.4,1,15,1,56,210,2,38,5223,18,0,0,0,iOS,592.62
3780,OnePlus,0.6,1,12,0,120,126,1,12,3981,9,0,1,1,iOS,823.75
3715,OnePlus,1.6,1,2,0,135,105,1,32,2559,6,0,0,0,iOS,344.59
4868,OnePlus,1.3,0,1,1,133,182,5,45,7067,22,0,0,1,iOS,595.01
1606,Tecno,2.7,0,13,0,247,196,2,14,4923,3,1,0,0,Android,584.82
3327,Tecno,1.3,1,18,0,209,233,6,22,7900,3,1,0,1,Android,560.72
3257,Tecno,1.5,0,7,1,238,135,7,33,1746,14,1,0,0,Android,1439.37
3952,Tecno,1.7,0,18,0,138,199,4,21,3722,15,0,1,0,Android,230.4
2593,Tecno,0.8,0,2,0,76,120,6,3,4120,4,1,1,1,Android,440.27
3144,Tecno,0.7,1,16,1,228,144,1,9,3163,15,1,1,0,Android,478.51
2489,Tecno,1.5,1,15,1,195,152,2,3,2944,18,0,0,1,Android,911.12
4106,Tecno,2.9,1,1,1,183,141,6,5,5287,23,1,0,0,Android,336.32
697,Tecno,2.2,0,13,0,211,195,7,43,2344,13,0,0,0,Android,343.85
3464,Tecno,1.2,0,6,1,143,111,4,4,1076,16,1,1,0,Android,252.98
3151,Tecno,1.3,1,4,1,4,133,5,45,7216,16,1,0,1,Android,184.04
1544,Samsung,1,1,18,1,176,188,3,31,5323,10,1,1,1,Android,215.18
703,Samsung,2.1,0,8,0,199,241,4,35,5911,14,0,0,0,Android,882.84
3805,Samsung,0.5,1,10,1,40,135,6,14,1226,2,0,0,0,Android,1463.77
2163,Samsung,2.5,0,12,0,127,180,3,24,1362,7,1,1,0,Android,290.75
4422,Samsung,1.1,1,16,1,134,159,7,20,5076,23,1,1,0,Android,1071
4778,Samsung,2,0,19,0,100,100,2,17,7172,23,0,1,0,Android,1419.17
905,Samsung,0.8,1,16,0,140,240,3,3,2907,5,0,0,1,Android,166.61
2532,Samsung,0.6,1,11,0,147,101,6,33,2724,10,1,1,0,Android,652.58
2588,OnePlus,1.9,0,13,0,225,192,6,34,6661,18,1,1,1,iOS,360.57
2943,OnePlus,1,0,4,1,160,247,7,10,3846,4,0,1,1,iOS,1251.17
3580,OnePlus,1.9,0,17,0,118,240,3,43,7834,2,0,1,0,iOS,862.81
4467,Itel,1.3,1,11,1,252,177,1,28,6247,2,0,1,1,Android,309.15
558,Itel,0.5,0,18,1,73,146,7,33,4950,5,1,1,1,Android,1430.39
3002,Itel,1.9,1,19,0,18,153,2,45,2716,20,0,0,0,Android,1046.3
1757,Itel,1.1,1,14,0,154,244,1,36,1707,6,1,0,1,Android,599.68
4154,Itel,1.8,1,16,0,56,171,5,30,5132,4,0,0,0,Android,1304.84
3904,Itel,2.7,0,9,0,154,228,3,15,2880,4,1,1,0,Android,789.85
2667,Itel,1.8,1,3,1,68,240,6,30,7258,12,1,0,0,Android,1160.72
977,Itel,1.1,0,12,1,197,139,5,5,6382,14,0,1,0,Android,411.98
743,Itel,2.5,0,7,1,25,225,2,10,7050,15,1,1,1,Android,445.39
1778,Itel,0.6,0,6,0,34,244,2,5,4566,10,1,0,0,Android,118.89
3452,Itel,0.8,0,6,0,196,234,3,8,5155,11,1,0,0,Android,260.11
3202,Itel,1.8,0,2,1,244,174,4,25,2240,6,1,1,0,Android,200.6
3383,Huawei,2.5,0,1,1,91,176,3,32,1306,22,0,1,0,iOS,506.75
3184,Huawei,1.3,1,5,1,13,205,3,35,1486,14,1,1,0,iOS,955.65
2277,Huawei,2.1,1,9,0,71,143,3,46,2694,16,0,1,1,iOS,755.04
4474,Huawei,2.2,1,1,1,140,129,7,2,5143,2,0,1,1,iOS,1139.56
2843,Huawei,0.6,0,18,0,217,206,4,42,5732,22,1,0,0,iOS,639.51
3238,Huawei,1.1,0,5,0,175,132,1,16,5157,14,0,0,0,iOS,657.27
4232,Huawei,1.4,0,13,1,154,144,2,10,3559,7,1,0,1,iOS,1348.83
3300,Huawei,2.3,1,8,0,106,240,6,39,1673,20,1,1,1,iOS,233
4929,Huawei,1.1,0,13,0,7,185,1,42,4847,11,0,0,0,iOS,837.06
2487,Huawei,1.5,0,19,0,190,154,3,39,3176,12,1,1,1,iOS,1084
4391,Huawei,2.9,1,2,1,16,245,2,40,4829,10,1,1,0,iOS,985.67
1080,Huawei,1.8,0,19,0,235,124,3,20,7157,13,0,1,1,iOS,534.85
1763,Huawei,2.9,1,15,0,112,143,1,8,3856,9,1,0,1,iOS,320.12
1548,Huawei,2,1,6,0,235,175,6,3,4011,2,0,0,1,iOS,1043.25
1516,Huawei,2.8,0,2,1,53,108,3,18,1278,6,0,0,1,iOS,1170.8
4090,Huawei,0.9,1,12,0,130,223,5,10,7127,10,1,1,1,iOS,866.31
4229,Huawei,2.5,1,3,0,57,208,7,38,7710,7,0,0,0,iOS,218.34
4186,Huawei,3,1,8,0,161,224,1,38,7493,20,1,1,0,iOS,414.4
3681,Huawei,1.1,1,10,1,47,219,1,26,2490,20,0,0,1,iOS,430
3239,Huawei,2,1,2,0,8,142,6,36,1389,21,0,1,0,iOS,369.46
3240,Huawei,2.1,0,0,1,42,101,6,9,2955,11,0,0,0,iOS,1267.36
1168,Huawei,2.9,1,18,1,119,207,5,42,4605,14,0,0,0,iOS,589.12
4370,Apple,0.7,1,6,1,152,182,4,32,2191,16,0,0,1,iOS,757.65
2608,Apple,1.5,1,18,1,24,215,3,26,3671,20,0,0,0,iOS,625.53
4922,Apple,1,1,19,1,221,141,4,9,7253,4,0,1,0,iOS,1097.02
4739,Apple,0.7,0,3,0,43,214,1,15,5746,21,0,0,0,iOS,1218.28
1858,Apple,0.5,0,12,1,139,180,6,8,5103,7,0,1,0,iOS,282.3
2262,Apple,2.2,0,12,1,98,203,5,40,7636,16,1,0,1,iOS,1114.23
4070,Apple,3,1,7,0,15,149,1,6,1138,11,0,1,0,iOS,1480.47
3323,Apple,2.2,0,14,0,84,140,4,36,5659,5,0,1,1,iOS,1153.25
1485,Apple,1.1,0,13,1,101,219,6,41,1820,8,0,1,1,iOS,717.63
4115,Apple,2.8,0,15,0,226,218,2,8,4498,15,0,1,1,iOS,483.52
3143,Apple,1.5,1,7,1,173,192,4,36,7480,11,0,0,1,iOS,1246.96
3580,Apple,2.7,1,2,1,127,152,1,10,3889,3,0,0,1,iOS,332.67
2552,Apple,2.8,1,14,1,183,183,1,13,2644,12,1,1,1,iOS,1057.75
3535,Apple,2.9,1,2,1,173,113,6,24,8151,21,1,1,0,iOS,915.66
2958,Apple,2.4,1,6,1,183,114,7,6,7502,13,1,0,1,iOS,304.89
1850,Apple,2.9,1,4,1,238,228,4,44,4471,20,1,0,0,iOS,811.71
